edad,nombre,nacionalidad
43,DR. ERNESTO   GUTIERREZ   ,  uy   
56,"Guevara, Eric ",  argentino   
23,señor  lucas muñoz ,  br   
20,  JORGE CASULLO     ,ch
35,"licenciado   fernández, diego  ",otros
46,"Sr.    González, Cristobal ",  brasilero
24,Julián Castro  ,uy
55,"RAMIREZ, ALEXANDER  ",ar
20,   juan alzate ,  argentino   
50,"lópez,  martín   ", Brasil
41,"MARTÍN,   SANTIAGO ",brazil
27,señor  pablo alsina ,  Otros 
24,"sánchez,  angel    ", argentno
28,señor mateo  antonello  , argentno
24,señor juan   rivadavia , uruguay
32,"sánchez, fidel  ", argentina
23," gutierrez,  benjamin ",otros
46,DAVID CASTRO  ,  arg
44,"Fernández, Luis ",brasil
35,"Castro,  Agustin     ",--
57, pablo sánchez ,otros
44,"   rodríguez, jose    ",  uruguayo
23,Angel Sanchez    ,  arg
62,BRUNO    MANGO   ,  brasilero
50,   nicolas silva  ,  arg
42,"   fertuchelli,   pablo ", argentina
36,"  SÁNCHEZ,   BASTIAN ",  brasilero
42,   Gustavo  Castro    ,argentino
56,ING. ALEXANDER CASTRO   , brasileño
42,lic.    javier pérez ,  uy   
39,LICENCIADO ERIC LÓPEZ  ,otros
49,Carlos Rodríguez , chileno
50,lic.    tomas muñoz , chilena
38,"gómez,   jorge     ",argentino
49,"Amenabar,  Martin    ", argentno
62, Carlos    Rodríguez   , argentina
53, Dr.   bruno perez   ,  uruguayo
56,"   pérez,  ernesto    ", otros
39,"Rodríguez,  Luciano  ", otros
50,"martínez, lucas ", argentina
64,señor jorge marchet  , argentina
45,"Lic Perez, Alonso ",--
24,  pablo matas    , chilena
46,Bruno   Mendoza   ,ch
34,gaspar antonello , Uruguayo
59, Julio   Ramirez      ,  brasilero
51,federico  fabricci    ,  arg
55,Cristobal  Flores    , otros
36,"sanchez,  alexander      ",ch
29,"sánchez, felipe ", argentno
56,"prof. muñoz, gustavo ",ch
44,"ing.    gonzález, maximiliano  ",  br   
18,carlos londoño   , uruguay
20,Ing    Alonso    Licastro      ,ar
32,Carlos   Nicastro   ,  argentino   
25, rodrigo casullo    , uruguay
40,ESTEBAN    SOTO   ,  brasilero
53,"  pérez, cristobal ", argentno
28,"lópez, martín ",otros
30,"gonzález,    matias   ",  argentino   
46,   LIC.   MATIAS   GONZÁLEZ ,  chi   
34,damian    martín ,  --
55,felipe viey  ,  uy   
40,  señor   sebastian marchet   ,brazil
58,  cristian centenera   , argentno
61,"silva, sebastian  ", argentno
41,  luis gonzález , argentno
47,"Ing   Mendoza,  Gabriel  ",  Otros 
34, mateo mendoza  ,argentino
19," Rojas, Matias   ",otros
23,juan fernández ,  uruguayo
19,"marchet,   julian    ",brasil
23,gaspar mactas    ,--
48,   daniel martínez     ,  uy   
61,fidel pérez    , chileno
38,"GÓMEZ, DIEGO ", chilena
39,  vicente gonzález  ,  arg
18,"Contreras,    Thomas    ", Brasil
47,"   fabricci, leandro      ",brasil
51,"mactas, victor    ",--
65,"RODRÍGUEZ, FERNANDO ",  arg
19,"sr.    sánchez,    diego     ",--
43, Sr. Pablo González ,otros
48,Licenciado Carlos Flores  ,brasil
