titulo,nombre,apellido,edad,nacionalidad
Dr.,Ernesto,Gutierrez,43,Uruguaya
,Eric,Guevara,56,Argentina
,Lucas,Muñoz,23,Brasileña
,Jorge,Casullo,20,Chilena
Lic.,Diego,Fernández,35,Otra
,Cristobal,González,46,Brasileña
,Julián,Castro,24,Uruguaya
,Alexander,Ramirez,55,Argentina
,Juan,Alzate,20,Argentina
,Martín,López,50,Brasileña
,Santiago,Martín,41,Brasileña
,Pablo,Alsina,27,Otra
,Angel,Sánchez,24,Argentina
,Mateo,Antonello,28,Argentina
,Juan,Rivadavia,24,Uruguaya
,Fidel,Sánchez,32,Argentina
,Benjamin,Gutierrez,23,Otra
,David,Castro,46,Argentina
,Luis,Fernández,44,Brasileña
,Agustin,Castro,35,
,Pablo,Sánchez,57,Otra
,Jose,Rodríguez,44,Uruguaya
,Angel,Sanchez,23,Argentina
,Bruno,Mango,62,Brasileña
,Nicolas,Silva,50,Argentina
,Pablo,Fertuchelli,42,Argentina
,Bastian,Sánchez,36,Brasileña
,Gustavo,Castro,42,Argentina
Ing.,Alexander,Castro,56,Brasileña
Lic.,Javier,Pérez,42,Uruguaya
Lic.,Eric,López,39,Otra
,Carlos,Rodríguez,49,Chilena
Lic.,Tomas,Muñoz,50,Chilena
,Jorge,Gómez,38,Argentina
,Martin,Amenabar,49,Argentina
,Carlos,Rodríguez,62,Argentina
Dr.,Bruno,Perez,53,Uruguaya
,Ernesto,Pérez,56,Otra
,Luciano,Rodríguez,39,Otra
,Lucas,Martínez,50,Argentina
,Jorge,Marchet,64,Argentina
Lic.,Alonso,Perez,45,
,Pablo,Matas,24,Chilena
,Bruno,Mendoza,46,Chilena
,Gaspar,Antonello,34,Uruguaya
,Julio,Ramirez,59,Brasileña
,Federico,Fabricci,51,Argentina
,Cristobal,Flores,55,Otra
,Alexander,Sanchez,36,Chilena
,Felipe,Sánchez,29,Argentina
Prof.,Gustavo,Muñoz,56,Chilena
Ing.,Maximiliano,González,44,Brasileña
,Carlos,Londoño,18,Uruguaya
Ing.,Alonso,Licastro,20,Argentina
,Carlos,Nicastro,32,Argentina
,Rodrigo,Casullo,25,Uruguaya
,Esteban,Soto,40,Brasileña
,Cristobal,Pérez,53,Argentina
,Martín,López,28,Otra
,Matias,González,30,Argentina
Lic.,Matias,González,46,Chilena
,Damian,Martín,34,
,Felipe,Viey,55,Uruguaya
,Sebastian,Marchet,40,Brasileña
,Cristian,Centenera,58,Argentina
,Sebastian,Silva,61,Argentina
,Luis,González,41,Argentina
Ing.,Gabriel,Mendoza,47,Otra
,Mateo,Mendoza,34,Argentina
,Matias,Rojas,19,Otra
,Juan,Fernández,23,Uruguaya
,Julian,Marchet,19,Brasileña
,Gaspar,Mactas,23,
,Daniel,Martínez,48,Uruguaya
,Fidel,Pérez,61,Chilena
,Diego,Gómez,38,Chilena
,Vicente,González,39,Argentina
,Thomas,Contreras,18,Brasileña
,Leandro,Fabricci,47,Brasileña
,Victor,Mactas,51,
,Fernando,Rodríguez,65,Argentina
,Diego,Sánchez,19,
,Pablo,González,43,Otra
Lic.,Carlos,Flores,48,Brasileña
Lic.,Mateo,Gómez,28,Brasileña
,Maximo,López,61,Argentina
,Jose,Sánchez,55,Argentina
,Néstor,Lupo,59,Chilena
,Alonso,Gómez,29,Otra
,Bastian,Hernández,54,Brasileña
,Ignacio,Flores,18,Chilena
,Esteban,Mango,48,Chilena
Ing.,Vicente,Gonzalez,38,Chilena
,Julio,Contreras,57,Uruguaya
,Sebastian,Ramirez,42,Argentina
Ing.,Bruno,Nicastro,48,Argentina
,Federico,Gonzalez,38,Uruguaya
,Cristobal,Alsina,57,Brasileña
,Amaro,Centenera,62,Uruguaya
,Tomas,Gómez,18,Brasileña
Lic.,Matias,Mango,25,Argentina
,Pablo,Rodríguez,22,Uruguaya
,Néstor,Aristizabal,34,Brasileña
,Fernando,Fertuchelli,51,Uruguaya
,Matias,Marchet,63,Brasileña
,Julián,Sánchez,48,Uruguaya
,Abel,Mango,57,Argentina
,Joaquin,Rodríguez,22,Brasileña
Lic.,Luis,Matas,31,Chilena
,Damian,Sánchez,43,Uruguaya
,Sebastian,Castro,56,Chilena
Dr.,Luis,Casullo,29,Chilena
Prof.,David,Rodríguez,21,Chilena
,Javier,Gonzalez,42,Brasileña
,Sebastian,Rodríguez,51,Uruguaya
Lic.,David,Pérez,22,Brasileña
,Sebastian,González,37,Chilena
,Benjamin,González,20,Uruguaya
,Javier,Riglos,31,Argentina
,Federico,Perez,26,Argentina
,Martín,Rivadavia,33,Chilena
,Maximo,Viey,56,
,Fernando,García,49,Argentina
,Jorge,Aguirre,53,
,Martin,Castañeda,65,
Dr.,Amaro,Lupo,41,Chilena
,Juan,Matas,59,Uruguaya
,Cristobal,Aguirre,53,Argentina
,Victor,Aristizabal,44,Argentina
,Jose,Hernández,36,Otra
,Angel,Amenabar,24,Uruguaya
,Sebastian,Alsina,39,Otra
,Felipe,Fernández,56,Brasileña
,Sebastian,Gómez,52,Uruguaya
,Emilio,López,64,Uruguaya
,Eric,Sanchez,53,Argentina
,Emilio,González,62,Otra
,Ernesto,Centenera,22,Brasileña
,Damian,Hernández,56,
,Julián,Sánchez,33,Uruguaya
,Franco,Rodríguez,48,Brasileña
,Gustavo,Licastro,38,Argentina
Ing.,Luis,Viey,34,Brasileña
,Carlos,Pérez,42,Chilena
,Alonso,Ramirez,36,Argentina
,Julián,González,25,Otra
Dr.,Alexander,González,48,Brasileña
Ing.,Felipe,Guevara,26,Argentina
Lic.,Pablo,Centenera,32,Chilena
,Emilio,Guevara,34,Uruguaya
,Fernando,Fanon,31,
,Ignacio,Martín,48,Brasileña
Lic.,Cristobal,López,19,Uruguaya
,Juan,Alzate,23,Brasileña
Lic.,Gaspar,Mendoza,44,Chilena
,Benjamin,Nicastro,61,Argentina
,Maximo,Aguirre,45,Uruguaya
,Luciano,Orondo,28,Otra
,Pablo,Matas,30,Brasileña
,Gaspar,Pérez,58,Argentina
,Fernando,Sánchez,37,Uruguaya
,Felipe,Fertuchelli,47,Brasileña
